,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,kamaishi,39.27,141.88,-2.0,74,75,2.6,JP
1,lappeenranta,61.06,28.19,0.0,95,100,1.39,FI
2,creemore,44.33,-80.11,-2.0,86,0,0.5,CA
3,kavaratti,10.57,72.64,28.0,69,40,1.5,IN
4,san juan,-31.54,-68.54,21.65,70,60,8.05,AR
5,mezen,65.85,44.24,-11.97,95,100,3.92,RU
6,biak,-0.91,122.88,29.87,63,93,0.89,ID
7,georgetown,5.41,100.34,28.0,74,20,1.5,MY
8,mataura,-46.19,168.86,11.67,97,100,2.68,NZ
9,hithadhoo,-0.6,73.08,28.18,77,76,4.96,MV
10,margate,51.38,1.39,3.89,89,100,1.79,GB
11,pietarsaari,63.65,22.68,-1.67,86,90,4.6,FI
12,cabo san lucas,22.89,-109.91,16.0,59,75,3.1,MX
13,itaueira,-7.6,-43.03,23.8,77,40,1.11,BR
14,kruisfontein,-34.0,24.73,20.14,73,0,1.36,ZA
15,ilorin,8.5,4.55,22.89,93,8,2.72,NG
16,hilo,19.73,-155.09,25.0,69,90,2.1,US
17,manaus,-3.1,-60.02,27.0,83,20,2.6,BR
18,kawalu,-7.38,108.21,31.02,54,90,1.91,ID
19,najran,17.49,44.13,12.0,66,0,0.18,SA
20,kenitra,34.26,-6.58,4.0,100,0,1.87,MA
21,castro,-24.79,-50.01,16.4,95,76,4.08,BR
22,luderitz,-26.65,15.16,18.0,77,92,3.1,NA
23,bakchar,57.02,82.07,-28.62,87,5,1.32,RU
24,yaan,7.38,8.57,24.12,86,9,2.26,NG
25,rikitea,-23.12,-134.97,26.1,70,27,4.18,PF
26,upernavik,72.79,-56.15,-13.45,91,100,4.48,GL
27,biloxi,30.4,-88.89,7.0,81,1,2.1,US
28,hermanus,-34.42,19.23,18.33,85,46,0.45,ZA
29,alihe,50.57,123.72,-18.62,76,17,1.71,CN
30,subate,56.01,25.91,-3.82,98,14,1.22,LV
31,luyang,27.62,110.1,9.94,57,89,2.65,CN
32,puerto escondido,15.85,-97.07,25.11,71,4,3.07,MX
33,soe,-9.86,124.28,29.62,52,86,2.02,ID
34,punta arenas,-53.15,-70.92,8.0,75,81,5.7,CL
35,thompson,55.74,-97.86,-15.0,84,90,4.6,CA
36,el tigre,8.89,-64.25,22.44,77,0,5.79,VE
37,lompoc,34.64,-120.46,12.0,93,90,2.1,US
38,port alfred,-33.59,26.89,20.0,87,2,2.73,ZA
39,ushuaia,-54.8,-68.3,9.0,66,40,8.7,AR
40,jamestown,42.1,-79.24,0.0,100,90,3.1,US
41,avarua,-21.21,-159.78,29.0,70,44,8.2,CK
42,carnarvon,-24.87,113.63,28.0,74,0,6.7,AU
43,kirillov,59.86,38.38,-1.0,100,90,2.0,RU
44,vardo,70.37,31.11,-2.74,92,15,3.83,NO
45,busselton,-33.65,115.33,26.67,41,99,2.68,AU
46,port elizabeth,-33.92,25.57,15.0,93,0,1.0,ZA
47,richards bay,-28.78,32.04,20.56,78,100,2.35,ZA
48,cape town,-33.93,18.42,19.44,63,0,4.1,ZA
49,bima,-8.47,118.72,31.15,68,87,0.76,ID
50,sao filipe,14.9,-24.5,22.68,78,48,3.15,CV
51,mar del plata,-38.0,-57.56,21.11,68,0,2.6,AR
52,bredasdorp,-34.53,20.04,14.0,93,100,1.0,ZA
53,torbay,47.67,-52.73,-1.11,79,90,5.7,CA
54,esperance,-33.87,121.9,20.0,49,90,4.6,AU
55,millinocket,45.66,-68.71,-5.0,79,90,2.1,US
56,saskylakh,71.92,114.08,-36.59,81,6,1.96,RU
57,tasiilaq,65.61,-37.64,0.0,98,100,10.3,GL
58,faanui,-16.48,-151.75,26.99,77,12,8.12,PF
59,paamiut,61.99,-49.67,-1.8,96,100,9.41,GL
60,savelugu,9.62,-0.83,25.3,43,0,3.38,GH
61,norman wells,65.28,-126.83,-26.0,75,75,2.1,CA
62,yellowknife,62.46,-114.35,-26.67,75,75,6.7,CA
63,sur,22.57,59.53,21.83,40,0,7.7,OM
64,wahiawa,21.5,-158.02,25.0,83,75,1.5,US
65,bengkulu,-3.8,102.27,29.06,67,43,3.29,ID
66,arraial do cabo,-22.97,-42.03,22.15,88,100,2.78,BR
67,longyearbyen,78.22,15.64,1.0,80,75,6.7,SJ
68,cherskiy,68.75,161.3,-30.15,84,100,1.62,RU
69,kodiak,57.79,-152.41,1.0,74,90,6.7,US
70,hobart,-42.88,147.33,21.67,52,75,4.6,AU
71,new norfolk,-42.78,147.06,21.67,49,100,1.34,AU
72,albany,42.6,-73.97,0.0,76,2,0.45,US
73,poum,-20.23,164.02,27.34,82,100,7.93,NC
74,hamilton,39.18,-84.53,3.89,86,90,3.1,US
75,abadan,30.34,48.3,9.0,87,10,1.0,IR
76,aklavik,68.22,-135.01,-20.0,83,100,5.1,CA
77,gobabis,-22.45,18.97,20.0,88,100,2.1,NA
78,qaanaaq,77.48,-69.36,-20.61,76,7,0.74,GL
79,oyama,36.3,139.8,9.44,26,40,1.0,JP
80,phangnga,8.45,98.53,28.0,65,20,4.1,TH
81,port macquarie,-31.43,152.92,27.0,74,40,6.2,AU
82,nanortalik,60.14,-45.24,-0.25,93,82,8.13,GL
83,la ronge,55.1,-105.28,-11.0,85,84,1.0,CA
84,marawi,8.0,124.29,27.78,83,79,2.24,PH
85,arezzo,43.47,11.87,5.56,96,20,1.34,IT
86,saint anthony,45.02,-93.22,-5.0,85,1,3.1,US
87,atuona,-9.8,-139.03,25.84,72,18,9.5,PF
88,pamanukan,-6.28,107.81,31.11,55,53,2.9,ID
89,tecoanapa,16.52,-98.75,23.97,64,0,1.74,MX
90,victoria,22.29,114.16,20.56,37,3,4.02,HK
91,walla walla,46.06,-118.34,11.11,57,90,11.8,US
92,east london,-33.02,27.91,18.0,88,0,2.1,ZA
93,adelaide,-34.93,138.6,24.44,56,0,8.2,AU
94,yining,29.04,114.56,11.82,44,34,0.84,CN
95,bambous virieux,-20.34,57.76,27.0,61,40,7.2,MU
96,puerto ayora,-0.74,-90.35,21.67,89,63,3.75,EC
97,mogadishu,2.04,45.34,23.0,73,20,4.6,SO
98,dondo,-19.61,34.74,27.78,88,40,2.1,MZ
99,khatanga,71.97,102.5,-32.75,79,82,2.43,RU
100,jian,27.12,114.98,10.86,45,4,2.92,CN
101,klaksvik,62.23,-6.59,2.0,100,100,3.6,FO
102,nome,64.5,-165.41,-12.0,60,1,3.48,US
103,dikson,73.51,80.55,-13.77,95,100,3.66,RU
104,hasaki,35.73,140.83,8.89,39,75,2.1,JP
105,naze,28.37,129.48,18.0,67,75,9.8,JP
106,peniche,39.36,-9.38,6.11,69,0,3.58,PT
107,kurumkan,54.3,110.3,-24.47,82,96,0.23,RU
108,conde,-7.26,-34.91,26.0,88,20,3.1,BR
