,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa maria,-29.68,-53.81,18.6,82,72,2.73,BR,1609746832
1,dikson,73.51,80.55,-20.28,86,80,7.79,RU,1609746832
2,neepawa,50.23,-99.47,1.0,86,90,10.8,CA,1609746832
3,san quintin,30.48,-115.95,13.07,88,0,2.1,MX,1609746833
4,cherskiy,68.75,161.3,-33.24,85,99,2.17,RU,1609746833
5,the valley,18.22,-63.06,24.0,78,75,4.1,AI,1609746585
6,busselton,-33.65,115.33,28.89,29,0,0.89,AU,1609746712
7,bethel,41.37,-73.41,0.0,98,90,2.75,US,1609746620
8,chokurdakh,70.63,147.92,-35.6,84,20,3.46,RU,1609746834
9,hamilton,39.18,-84.53,1.67,86,90,1.38,US,1609746794
10,punta arenas,-53.15,-70.92,6.0,81,100,4.6,CL,1609746834
11,san-pedro,4.75,-6.64,26.24,85,0,1.87,CI,1609746835
12,eydhafushi,5.1,73.07,27.5,76,100,2.64,MV,1609746835
13,saskylakh,71.92,114.08,-19.0,90,100,5.54,RU,1609746835
14,mayo,38.89,-76.51,3.0,100,1,4.09,US,1609746835
15,narsaq,60.92,-46.05,-5.0,73,100,2.6,GL,1609746836
16,fairbanks,64.84,-147.72,-20.56,69,40,3.1,US,1609746836
17,roanoke,37.27,-79.94,6.0,70,90,3.6,US,1609746561
18,hobart,-42.88,147.33,20.56,59,40,4.1,AU,1609746836
19,cidreira,-30.18,-50.21,22.05,78,0,7.31,BR,1609746836
20,kapaa,22.08,-159.32,24.0,83,90,7.2,US,1609746837
21,new norfolk,-42.78,147.06,20.56,52,9,0.89,AU,1609746837
22,bluff,-46.6,168.33,14.44,74,33,2.24,NZ,1609746837
23,airai,-8.93,125.41,18.75,100,100,0.57,TL,1609746837
24,pahrump,36.21,-115.98,3.89,48,70,0.45,US,1609746652
25,batagay-alyta,67.8,130.41,-28.78,86,100,0.92,RU,1609746838
26,puerto ayora,-0.74,-90.35,22.22,95,65,0.45,EC,1609746838
27,nome,64.5,-165.41,-19.0,53,1,4.6,US,1609746838
28,kaunas,54.9,23.9,-2.0,86,90,2.6,LT,1609746839
29,nemuro,43.32,145.57,-6.0,48,40,2.6,JP,1609746839
30,telhara,21.03,76.84,29.45,29,23,5.11,IN,1609746839
31,rikitea,-23.12,-134.97,25.37,80,0,6.39,PF,1609746839
32,hasaki,35.73,140.83,11.11,48,20,1.0,JP,1609746839
33,mataura,-46.19,168.86,14.44,74,76,2.24,NZ,1609746840
34,chowchilla,37.12,-120.26,12.0,81,90,3.1,US,1609746840
35,georgetown,5.41,100.34,29.0,74,40,1.0,MY,1609746708
36,sibu,2.3,111.82,32.0,66,40,2.1,MY,1609746840
37,avera,33.19,-82.53,4.0,93,1,2.6,US,1609746840
38,ushuaia,-54.8,-68.3,6.0,81,40,8.7,AR,1609746763
39,adre,13.47,22.2,26.21,17,0,6.77,TD,1609746841
40,yellowknife,62.46,-114.35,-20.56,83,90,1.0,CA,1609746782
41,thompson,55.74,-97.86,-16.0,91,90,2.6,CA,1609746842
42,chapais,49.78,-74.85,-6.0,92,90,4.1,CA,1609746842
43,vaini,-21.2,-175.2,24.0,100,90,3.6,TO,1609746842
44,castro,-24.79,-50.01,13.18,97,61,3.23,BR,1609746829
45,hermanus,-34.42,19.23,25.56,73,93,4.02,ZA,1609746843
46,leshukonskoye,64.9,45.76,-16.03,94,88,2.43,RU,1609746843
47,hami,42.8,93.45,-8.25,72,0,0.79,CN,1609746579
48,codrington,-38.27,141.97,14.31,78,100,7.95,AU,1609746843
49,sorland,67.67,12.69,6.0,70,75,10.3,NO,1609746843
50,richards bay,-28.78,32.04,30.83,54,8,3.51,ZA,1609746844
51,qaqortoq,60.72,-46.03,-5.0,73,100,2.6,GL,1609746844
52,massakory,13.0,15.73,29.69,14,2,5.25,TD,1609746844
53,vanimo,-2.67,141.3,28.86,68,100,1.65,PG,1609746844
54,kahului,20.89,-156.47,23.0,78,1,6.2,US,1609746674
55,atuona,-9.8,-139.03,25.45,81,89,7.14,PF,1609746845
56,tailai,46.38,123.4,-17.89,71,0,1.13,CN,1609746845
57,albany,42.6,-73.97,0.56,86,100,0.25,US,1609746750
58,klaksvik,62.23,-6.59,6.0,81,95,6.2,FO,1609746845
59,buala,-8.14,159.59,27.86,70,100,2.7,SB,1609746846
60,poronaysk,49.22,143.12,-20.26,88,32,2.52,RU,1609746846
61,leningradskiy,69.38,178.42,-24.0,88,22,1.8,RU,1609746846
62,port augusta,-32.5,137.77,28.33,53,0,12.3,AU,1609746783
63,chuy,-33.7,-53.46,19.2,90,83,3.45,UY,1609746847
64,merke,42.87,73.18,-3.67,81,0,0.83,KZ,1609746847
65,east london,-33.02,27.91,26.0,74,20,3.6,ZA,1609746847
66,ghanzi,-21.57,21.78,26.39,52,2,6.58,BW,1609746847
67,constitucion,-35.33,-72.42,14.6,69,0,4.02,CL,1609746847
68,kavaratti,10.57,72.64,30.0,74,20,1.5,IN,1609746848
69,abha,18.22,42.51,18.0,42,0,1.5,SA,1609746556
70,moron,-34.65,-58.62,23.89,73,72,2.68,AR,1609746848
71,baruun-urt,46.68,113.28,-26.18,84,0,4.61,MN,1609746848
72,sault sainte marie,46.52,-84.33,2.0,80,90,3.1,CA,1609746849
73,katima mulilo,-17.5,24.27,26.0,65,90,2.6,NA,1609746849
74,san felipe,10.34,-68.74,18.24,92,46,0.79,VE,1609746849
75,port alfred,-33.59,26.89,26.67,80,87,1.04,ZA,1609746849
76,lebu,-37.62,-73.65,11.61,85,0,8.73,CL,1609746850
77,lata,40.16,-8.33,6.67,100,40,1.0,PT,1609746850
78,coquimbo,-29.95,-71.34,13.0,87,0,1.0,CL,1609746850
79,asfi,32.3,-9.24,10.17,59,100,5.5,MA,1609746850
80,hithadhoo,-0.6,73.08,28.76,70,38,3.57,MV,1609746850
81,jamestown,42.1,-79.24,1.11,98,90,2.1,US,1609746851
82,kang,-23.68,22.79,27.05,49,3,5.7,BW,1609746851
83,kodiak,57.79,-152.41,-7.0,92,75,3.6,US,1609746696
